,artifact,denoiser,realization,scale,mse,wasserstein,num_w_scales,hurst
66,sawtooth,wqn,5,1,0.2181978539051018,"[0.16032804716050109, 0.47079123908000126, 1.3850475559251016, 0.19849902207240283, 0.1644912242193522, 0.02120826413270467, 0.026366292911549447, 0.0055339777282179675, 0.0032524930297792645, 0.0006876383065979727]",9,-2.218660280392704
67,sawtooth,wt_ihard,5,1,0.08509972897919064,"[0.7125311258302576, 2.7582548287954882, 4.104943780929781, 1.1768250658652863, 0.6090335884668957, 0.23448398447591817, 0.07608928451385945, 0.027966281699319508, 0.011262301576261059, 0.0013703830861608512]",9,-1.6004857127802032
68,sawtooth,wt_isoft,5,1,0.08301768807201809,"[0.7125311258302576, 0.5151085346745625, 3.182909324979277, 0.9062928880308568, 0.4008770755031894, 0.1463531120396881, 0.05184688327218688, 0.016391283868141357, 0.004712871851600516, 0.0017690435620821674]",9,-1.9220947495324547
69,sawtooth,wt_uni,5,1,0.7283019295794335,"[0.7125311258302576, 0.8115917229019379, 5.602981113938513, 3.9841834374778413, 1.2338112727508692, 0.4413811485865725, 0.13705323590277915, 0.037334016047368454, 0.007455360557513745, 0.003152193440448454]",9,-2.409686544030083
70,sawtooth,wt_sure,5,1,0.08132790263457862,"[0.7125311258302576, 0.8115917229019379, 3.6402034853546157, 0.908921484089815, 0.37110653741154337, 0.1427924704043856, 0.05156481482654452, 0.01679092736015832, 0.00438605296298154, 0.001726925704201525]",9,-1.9128870770794928
71,sawtooth,wt_zero,5,1,0.0982158784167314,"[0.7125311258302576, 4.621452098830904, 4.187124815696672, 1.2725745753451105, 0.6508156813578956, 0.2875005208476207, 0.13641685113949742, 0.06911549072567338, 0.02997693314931415, 0.019322107057231322]",9,-4.38330833853243
72,square,wqn,6,1,0.04136408706288909,"[0.13108089619025765, 0.025299871001722596, 0.22610679491474509, 0.10579465440244304, 0.11969369904922073, 0.016010762317347493, 0.0088705860103462, 0.0019549852831256746, 0.0005575205333725518, 0.00021618218474230526]",9,-1.7801291996481354
73,square,wt_ihard,6,1,0.03096375650759715,"[0.22708249012160864, 0.7389844427844341, 1.4270582598302717, 0.8585027147494708, 0.5203076923653168, 0.27224043393056385, 0.1125075391982675, 0.046244171085009306, 0.017230254079106517, 0.00597550405742431]",9,-1.1742435396033126
74,square,wt_isoft,6,1,0.02762845245921587,"[0.22708249012160864, 0.1058691441507671, 1.4270582598302717, 0.6495546855732635, 0.5203076923653168, 0.18231132982340104, 0.05855561175831228, 0.020040398699273862, 0.006595648255822309, 0.0019219915396482207]",9,-1.3093128779079284
75,square,wt_uni,6,1,0.3654177097373822,"[0.22708249012160864, 0.1420032929431182, 4.879413781129715, 2.716636313309375, 1.1708485189996956, 0.4283521517884846, 0.13008995545914953, 0.040287739099596716, 0.010767719106212, 0.0024231041210007807]",9,-2.0712439992118363
76,square,wt_sure,6,1,0.028789613887849952,"[0.22708249012160864, 0.1420032929431182, 1.4270582598302717, 0.8585027147494708, 0.5203076923653168, 0.14487417498794064, 0.06365811489072644, 0.018768618270900393, 0.00601224639873605, 0.003032329483043082]",9,-1.312292307917202
77,square,wt_zero,6,1,0.056590118779816685,"[0.22708249012160864, 3.547529859684267, 1.4270582598302717, 0.8585027147494708, 0.5203076923653168, 0.2785335440836928, 0.12953245927283355, 0.06688034711625361, 0.03280506026630702, 0.020421414581322073]",9,-4.434112250264149
78,sawtooth,wqn,6,1,0.046088533788966116,"[0.15854796573127095, 0.7404929445277925, 0.6998438893420662, 0.20190509983258853, 0.13877538758600488, 0.02546222135730794, 0.010946223751629094, 0.003218478622088932, 0.0013311435314698758, 0.00033270328999488396]",9,-1.8898425114464183
79,sawtooth,wt_ihard,6,1,0.02918005341462059,"[0.6148031694457594, 0.7404929445277925, 1.4270582598302717, 0.858086154156305, 0.5174824750033605, 0.25899846025674855, 0.08525789548903431, 0.035245696043844116, 0.011454142953276781, 0.004106623852781079]",9,-1.1060121133297758
80,sawtooth,wt_isoft,6,1,0.0252625663937497,"[0.6148031694457594, 0.7404929445277925, 1.4270582598302717, 0.5679311137810242, 0.3986304814351438, 0.14105037065316178, 0.0391187031901542, 0.013971259814374392, 0.0040122743947155915, 0.0012107130079853441]",9,-1.512899167926411
81,sawtooth,wt_uni,6,1,0.29701683254860245,"[0.6148031694457594, 0.7404929445277925, 4.498346018858609, 2.642942859406289, 0.8759423684806832, 0.25882320575005024, 0.07579249526920065, 0.02356522631791038, 0.005720724897292987, 0.0014111050929995791]",9,-2.21759507947066
