wt_soft,wt_hard,wt_uni_soft,wt_uni_hard,wqn,scale
1.4999344956105776,1.4847236449764096,2.2102196048265697,1.540536362236799,0.5983333942243783,7
1.9423372832580876,1.925480461722947,2.6859648490035006,1.9810796275613105,0.6869719105016504,8
2.4431978159337135,2.4234507267373844,3.2202380356961426,2.493914106760571,0.7752748737705791,9
3.002095183148329,2.981093594942186,3.80720933851187,2.9848202064036893,0.8342749774404928,10
3.6175822133423345,3.596380035615005,4.451182736335821,3.6001365336354008,0.8915853676079976,11
4.293062740392541,4.270109661936837,5.153286619278416,4.273967438768333,0.9495249145799389,12
5.026876901046563,5.002271934450172,5.913674227151311,5.0061586354969005,1.0609806343223485,13
5.818964309465056,5.792632271927547,6.732248069244672,5.796368976745948,1.0885105591995627,14
6.669501475586133,6.641311086254913,7.60919506977014,6.645938666917322,1.1542067814659278,15
7.578273811442169,7.548414678275781,8.544505699485645,7.553737674420947,1.1545207461125877,16
8.545337446950189,8.513887534978847,9.53811540159591,8.518612796629682,1.1643923389443123,17
9.57071920615611,9.535965274281729,10.589941373285596,9.542514293034179,1.2136519464425746,18
10.65434141492361,10.617826733034162,11.700127519108117,10.625395076795536,1.254378659517775,19
0.12477038959964386,0.12518803929861,0.8634160282617642,0.5771929764618293,0.2876151019881776,1
0.1657339250897806,0.1578499905913971,1.6406833367805782,0.4570981073951613,0.43033807070640834,2
0.23110205636996453,0.22977569435876288,1.8512742625786698,0.3336877282445793,0.4815674673113339,3
0.32252526503003665,0.32096085299086036,2.0201253353526023,0.40940710440212763,0.5890141260095089,4
0.4400634935728088,0.43839726298390436,2.1643483129207675,0.5541194114097134,0.6453056201040749,5
0.5838627695008665,0.5815241221136153,2.326066069053622,0.7381805829702487,0.7434887391059098,6
0.7539169847762165,0.7516053374987685,2.5027139558019718,0.8930524838585335,0.8486890676822765,7
0.9502867337278221,0.9478108538475022,2.6899134248148164,0.995285677230425,0.9720807641451699,8
1.1729746971500128,1.1701417956130626,2.88215857369507,1.2024317498269073,1.100838935580542,9
1.4217942423999634,1.419334455094108,3.0983950498007244,1.446984896870303,1.1475806242878366,10
1.6970928727294086,1.6944809560436755,3.3404401116233275,1.7286221821747925,1.2113533448042664,11
1.998784544888859,1.9962433136146447,3.609292096122627,2.0361996391357797,1.2521483032429268,12
2.326473718514966,2.324652782244512,3.90391692968577,2.3553440224094175,1.3328934604022307,13
2.6804567648679214,2.6788696070594216,4.223251567581169,2.70597257395864,1.3822392469884137,14
3.0608032085579793,3.059421980870817,4.568261264187187,3.0879849803577044,1.4808591508689573,15
3.4673560843300804,3.4662310505640948,4.939684643909461,3.498819752112974,1.5199267349833234,16
3.9005427457629804,3.899217589145009,5.3373932457349325,3.9311646510168523,1.5481238308366132,17
4.359696754600426,4.3585110294754354,5.7607361100192565,4.384602633736479,1.6016135854862852,18
4.845106082587764,4.844084356763438,6.209922127438165,4.873352284424711,1.6393057683764338,19
0.12198948341143669,0.1302308061450099,0.7857510437151214,0.49458456790760974,0.14473134903906842,1
0.16236183804801455,0.15617675993535435,1.4236038326124596,0.47066205076158796,0.21368323240141582,2
0.2230076599011991,0.21917448136943418,1.643637308499651,0.35099783723637196,0.252351310319003,3
0.3061221687058761,0.30501136961040404,1.7748703312464982,0.37753018034226554,0.31491155510585833,4
0.4121409969263186,0.4099561984770824,1.8993277183806243,0.47447808501048455,0.35609648219158874,5
0.5416231446395826,0.5413660793162931,2.0309764818640876,0.5962519298325184,0.42964934533949434,6
0.6937192524985187,0.6957335564764786,2.1835650701227465,0.7606921985899299,0.5018262944400377,7
0.8691423302160972,0.8734900293212722,2.3556408827310404,0.9151467887096311,0.5583748213510301,8
1.071129789225181,1.074989485383125,2.5452865645204796,1.109326918141044,0.6004585481242366,9
1.2976220926077373,1.2994484810248483,2.7563451613126295,1.3360478372900322,0.6321866204191722,10
1.5444767867843125,1.5471832371728638,2.990309971347889,1.5848346157254987,0.6976183977433873,11
1.8121479907876514,1.8154699221255155,3.2467632365856036,1.8549270952125452,0.7366317782483034,12
2.102816448879587,2.103836168945908,3.526504705179171,2.155212938883775,0.8597105478773327,13
2.4165543654452,2.418324776788223,3.8297901410689543,2.4781020957354354,0.9184110863505417,14
2.753191304998239,2.7559040476168484,4.156750670096344,2.824613935740528,0.9962207123413457,15
3.1127767676053764,3.1164263841341526,4.507202172530536,3.19480279934829,1.0731270591065847,16
3.4954798768823108,3.499787121094586,4.88128509858263,3.590042802833035,1.0830343951463397,17
3.901008499820054,3.9064722045827613,5.279101782006219,4.0090041428108965,1.0881613340346545,18
4.329521032559355,4.336105108863609,5.700492484874551,4.446406699734458,1.0883875961531313,19
0.08396975281459614,0.0846209267415137,0.6424263729944812,0.3692943769957706,0.12858998708750616,1
0.1530214154721725,0.15250669356157479,1.0060279165512032,0.27893053499174947,0.2072741331366553,2
0.2673506191381962,0.26727475043910437,1.2441353788710188,0.3838444750970426,0.34377646872455137,3
0.4275669999611508,0.4279330988069585,1.4670698257543893,0.48431192415868135,0.427861323364596,4
0.6337343634260665,0.6350254787255726,1.7142959718563078,0.7166975050740692,0.4771371070090906,5
