denoiser,realization,scale,mse
wt_usoft,4,16,2.056165955219749
wqn,4,17,0.32986277280988446
wt_ihard,4,17,0.36391093421203324
wt_isoft,4,17,0.23303175008709298
wt_usoft,4,17,2.0588432289503973
wqn,4,18,0.32956489589574756
wt_ihard,4,18,0.3649927473165348
wt_isoft,4,18,0.23437176898531664
wt_usoft,4,18,2.061694618309086
wqn,4,19,0.3298425320216481
wt_ihard,4,19,0.36618043181645354
wt_isoft,4,19,0.23584485722949272
wt_usoft,4,19,2.064692396606976
wqn,4,20,0.3300328839477772
wt_ihard,4,20,0.3675267589116922
wt_isoft,4,20,0.2374490751946187
wt_usoft,4,20,2.0677857544730367
wqn,5,0,1.5224088796129097e-22
wt_ihard,5,0,1.5224088796129097e-22
wt_isoft,5,0,1.5224088796129097e-22
wt_usoft,5,0,1.5224088796129097e-22
wqn,5,1,0.07888500074876491
wt_ihard,5,1,0.041682368614039865
wt_isoft,5,1,0.040821771755517954
wt_usoft,5,1,0.5520315331661688
wqn,5,2,0.0929181462465611
wt_ihard,5,2,0.04188014286088698
wt_isoft,5,2,0.0411476460646224
wt_usoft,5,2,0.6752359147177792
wqn,5,3,0.10072293807402165
wt_ihard,5,3,0.042054385368166816
wt_isoft,5,3,0.04127771215155427
wt_usoft,5,3,0.7042366329608875
wqn,5,4,0.1109218257493321
wt_ihard,5,4,0.04166941392610939
wt_isoft,5,4,0.041413098896677165
wt_usoft,5,4,0.7222132171613973
wqn,5,5,0.11186454450158126
wt_ihard,5,5,0.042557050767309604
wt_isoft,5,5,0.04195219246035075
wt_usoft,5,5,0.7357551382210399
wqn,5,6,0.11295279492739149
wt_ihard,5,6,0.042880345169063035
wt_isoft,5,6,0.04227628745491281
wt_usoft,5,6,0.7485751593402212
wqn,5,7,0.11416018487672958
wt_ihard,5,7,0.06581021217563998
wt_isoft,5,7,0.04439469962352627
wt_usoft,5,7,0.7592552185299775
wqn,5,8,0.11517386740980858
wt_ihard,5,8,0.06499169354973898
wt_isoft,5,8,0.04618126170936939
wt_usoft,5,8,0.7640358355928393
wqn,5,9,0.11639500399328069
wt_ihard,5,9,0.06465629471171484
wt_isoft,5,9,0.046096339875874276
wt_usoft,5,9,0.7685614686989285
wqn,5,10,0.11637345737979513
wt_ihard,5,10,0.06435519190082645
wt_isoft,5,10,0.04604992392496206
wt_usoft,5,10,0.7732404272056607
wqn,5,11,0.25260075719168484
wt_ihard,5,11,0.0640941157806319
wt_isoft,5,11,0.046042166761821254
wt_usoft,5,11,0.7783089830947966
wqn,5,12,0.2540082621634894
wt_ihard,5,12,0.0638624511845126
wt_isoft,5,12,0.04607341784199104
wt_usoft,5,12,0.7836200132558638
wqn,5,13,0.27564645718151837
wt_ihard,5,13,0.06367490095264541
wt_isoft,5,13,0.04614208884388406
wt_usoft,5,13,0.7892295969467706
wqn,5,14,0.2757530786685961
wt_ihard,5,14,0.06352855023229315
wt_isoft,5,14,0.046249217449841784
wt_usoft,5,14,0.7952136233329157
wqn,5,15,0.2928801611825609
wt_ihard,5,15,0.06342102910245516
wt_isoft,5,15,0.04639505442094212
wt_usoft,5,15,0.8009271551524129
wqn,5,16,0.2931958418370701
wt_ihard,5,16,0.06335268505177197
wt_isoft,5,16,0.0465788399206134
wt_usoft,5,16,0.8067534059021225
wqn,5,17,0.2932624055163166
wt_ihard,5,17,0.063314978987926
wt_isoft,5,17,0.04680306711012963
wt_usoft,5,17,0.8127937607702981
wqn,5,18,0.29332774310549614
wt_ihard,5,18,0.06332247285405743
wt_isoft,5,18,0.04706496509743329
wt_usoft,5,18,0.8189322813285871
wqn,5,19,0.29338776485351753
wt_ihard,5,19,0.06335630335320536
wt_isoft,5,19,0.0473641490586571
wt_usoft,5,19,0.825322396483205
wqn,5,20,0.29347377598517466
wt_ihard,5,20,0.06344048449949141
wt_isoft,5,20,0.04770100614297641
wt_usoft,5,20,0.8320249289501961
wqn,6,0,4.7019868713846566e-23
wt_ihard,6,0,4.7019868713846566e-23
wt_isoft,6,0,4.7019868713846566e-23
wt_usoft,6,0,4.7019868713846566e-23
wqn,6,1,0.04274443365012724
wt_ihard,6,1,0.01802250167928937
wt_isoft,6,1,0.024833197390878806
wt_usoft,6,1,0.8557054742650926
wqn,6,2,0.09361283793659261
wt_ihard,6,2,0.018186403159458332
wt_isoft,6,2,0.02468753136424516
wt_usoft,6,2,1.4020258015527285
wqn,6,3,0.10052358722275168
wt_ihard,6,3,0.018312566267957554
wt_isoft,6,3,0.024868235499363178
wt_usoft,6,3,1.492473926936302
wqn,6,4,0.10115057364409949
wt_ihard,6,4,0.018448180183048286
wt_isoft,6,4,0.024994249361001634
wt_usoft,6,4,1.5654359027011084
wqn,6,5,0.10470813211789003
wt_ihard,6,5,0.01861743055317978
wt_isoft,6,5,0.025155723732040204
wt_usoft,6,5,1.604546217111416
wqn,6,6,0.10184295777298802
wt_ihard,6,6,0.018817592154165327
wt_isoft,6,6,0.02534394681580087
wt_usoft,6,6,1.6450565235570378
wqn,6,7,0.10121782399605793
wt_ihard,6,7,0.019047252433649735
wt_isoft,6,7,0.025563866515781308
wt_usoft,6,7,1.6641897816266749
wqn,6,8,0.1016336937488421
wt_ihard,6,8,0.019311761745241737
wt_isoft,6,8,0.02581302882864163
wt_usoft,6,8,1.6681182748251038
wqn,6,9,0.10199136081164684
