,artifact,denoiser,realization,scale,mse,wasserstein,num_w_scales,hurst
68,sawtooth,wt_isoft,5,2,0.055246638398870195,"[0.2909541895725085, 0.2441823014114104, 2.080958599447577, 0.816070407566528, 0.3698385595802105, 0.11297687813044299, 0.039872928091685925, 0.014140126077110952, 0.004382409668179129, 0.0013092706735650063]",9,0.3637061011826901
69,sawtooth,wt_uni,5,2,0.6420964703209918,"[0.2909541895725085, 0.2606635345234791, 8.562923299424462, 3.7977887935590355, 1.1303150497538614, 0.3241246096685418, 0.09291697585950937, 0.025949229829896364, 0.006252278006239376, 0.0013823445381578815]",9,0.7098879358063812
70,sawtooth,wt_sure,5,2,0.06936794897739258,"[0.2909541895725085, 0.2606635345234791, 2.103341452136643, 1.259500265635775, 0.4167910751341458, 0.10908952560109801, 0.04058381627637495, 0.015399649017862567, 0.005199741202162303, 0.001083980922771849]",9,0.2801463538381117
71,sawtooth,wt_zero,5,2,0.26027664825140073,"[0.2909541895725085, 6.231516639578275, 2.103341452136643, 1.259500265635775, 0.458836808955654, 0.20970313906372906, 0.11658899071368035, 0.06550482689120696, 0.031459455010636864, 0.018618301044925664]",9,1.7017968582763903
72,square,wqn,6,2,0.08276544685308124,"[0.8643868835295483, 1.649495721953498, 1.5576639868314306, 0.4002685035011703, 0.08162197820559552, 0.020637474097605996, 0.017029200324553184, 0.01134930311408141, 0.002048038302532943, 0.0004986509819700878]",9,0.70136190541138
73,square,wt_ihard,6,2,0.022386129008484298,"[1.1763054306150447, 2.3235072966701322, 2.586837306140875, 1.1405578262865659, 0.5257311485960899, 0.22630511189341135, 0.09089115588485974, 0.033872338816355735, 0.013091520972848467, 0.007622162124883092]",9,0.2648703566284947
74,square,wt_isoft,6,2,0.025613281288571692,"[1.1763054306150447, 1.0745989321768743, 2.1120285281296405, 0.8403213347339666, 0.5116229017091471, 0.16082459246922537, 0.05202106316714741, 0.0182131367677958, 0.005367538359770422, 0.003118633712840915]",9,0.33222427762602647
75,square,wt_uni,6,2,1.5524485751720187,"[1.1763054306150447, 1.2318539554825354, 12.726684072614582, 6.41908419379527, 2.682386232940402, 0.8878709308446617, 0.2620366402502916, 0.072399819067511, 0.012269049570248856, 0.0055085549892924576]",9,0.6018394529662094
76,square,wt_sure,6,2,0.02043631240994921,"[1.1763054306150447, 1.2318539554825354, 2.6985926700209273, 1.1405578262865659, 0.4142537611522428, 0.15246780455111103, 0.06200624761124262, 0.019722545967543144, 0.004213826669992258, 0.002100597167075038]",9,0.2445295788765085
77,square,wt_zero,6,2,0.04201022829810299,"[1.1763054306150447, 7.164486713377535, 2.6985926700209273, 1.1405578262865659, 0.5257673253452102, 0.2318584059148137, 0.10434719243720646, 0.04871849818550947, 0.023212486281050503, 0.014687318676737782]",9,1.7009615851060684
78,sawtooth,wqn,6,2,0.13143560964787618,"[0.6327063936338628, 0.45850123859181124, 1.288446730688166, 0.20165350456941925, 0.19122493279542416, 0.09529723856347033, 0.03793004783909611, 0.013494578019494077, 0.002721214987697989, 0.0005557145845242375]",9,0.4633822385608912
79,sawtooth,wt_ihard,6,2,0.016871521841362647,"[0.8328833310481809, 0.9162403160288993, 2.6985926700209273, 1.1405578262865659, 0.5074668698787994, 0.18429538837121545, 0.06729030628583682, 0.019594312101754004, 0.00833329321238064, 0.0012801103909273978]",9,0.24681569626334643
80,sawtooth,wt_isoft,6,2,0.017145932924173282,"[0.8328833310481809, 0.9162403160288993, 2.525087022330937, 1.1405578262865659, 0.36949809807728345, 0.12925076149400766, 0.04282172043380321, 0.013485222686936651, 0.003721635392391897, 0.00172460974535954]",9,0.35944577173536996
81,sawtooth,wt_uni,6,2,1.44588535701687,"[0.8328833310481809, 0.9162403160288993, 11.03205211242239, 5.407456115279418, 2.028460518163818, 0.5954590426668002, 0.16297531483140415, 0.0450619914065727, 0.007486581608174813, 0.0033818220864720644]",9,0.7338428939362855
82,sawtooth,wt_sure,6,2,0.0194710880640018,"[0.8328833310481809, 0.9162403160288993, 2.6985926700209273, 1.1405578262865659, 0.36046879446116564, 0.16658344009323528, 0.04415637340839523, 0.015474742290329645, 0.0034482456249806, 0.0016720605574879679]",9,0.38728747989351764
83,sawtooth,wt_zero,6,2,0.04178714375131924,"[0.8328833310481809, 7.164486713377535, 2.6985926700209273, 1.1405578262865659, 0.5257673253452102, 0.2318584059148137, 0.10434719243720646, 0.04871849818550947, 0.023212486281050503, 0.014687318676737782]",9,1.7011308070079512
84,square,wqn,7,2,0.06292792814129838,"[0.9306199877109718, 1.4725209887664232, 0.6306928609554645, 0.11725901417652478, 0.058921017263746794, 0.04633604139230042, 0.010391363046555323, 0.002792785175018907, 0.0013232983720785454, 0.00034870967455656317]",9,0.3575645895173325
85,square,wt_ihard,7,2,0.02040081500820443,"[1.2780904669478164, 3.1315028363987993, 1.9413914212298722, 1.097803038830389, 0.47561787888634377, 0.21765836337281863, 0.09266692624991604, 0.03851506877517095, 0.014309913245529708, 0.0038924021865337478]",9,0.2083089316793283
86,square,wt_isoft,7,2,0.021706090281542294,"[1.2780904669478164, 0.8930137968578622, 1.4470653703788865, 0.871830478461586, 0.3879894509111178, 0.15147217566925011, 0.05043487921885187, 0.01878031533084686, 0.005589785885911863, 0.0017972322371571476]",9,0.25424856416444974
87,square,wt_uni,7,2,0.8853188984230449,"[1.2780904669478164, 1.2119123453861949, 8.559699872639612, 4.438754281905418, 2.1645142581044183, 0.7382908304410143, 0.2006910125230425, 0.057877986454572976, 0.010873055167857817, 0.003797046769410446]",9,0.5919587655106899
88,square,wt_sure,7,2,0.01962031474364642,"[1.2780904669478164, 1.2119123453861949, 1.9413914212298722, 1.097803038830389, 0.47694136212926974, 0.14659750379146916, 0.04793942143428025, 0.016779854056048718, 0.004877478492758043, 0.001723862187217197]",9,0.14291802643321372
89,square,wt_zero,7,2,0.03516731224841541,"[1.2780904669478164, 5.350568753711336, 1.9413914212298722, 1.097803038830389, 0.47694136212926974, 0.2301192342662309, 0.10845919332075135, 0.05443616215801656, 0.02542844026481933, 0.015524757596616194]",9,1.709290377046723
90,sawtooth,wqn,7,2,0.07624131877048834,"[0.17553041540985237, 0.27281076353954814, 0.7900299009543621, 0.2701004029722003, 0.14208647369434185, 0.06475899976730254, 0.020718667762036572, 0.00907469458832063, 0.0017750265902688413, 0.0004186226683880516]",9,0.4523013412818101
91,sawtooth,wt_ihard,7,2,0.020450724570961587,"[0.6224136038284568, 2.232364912695674, 1.9413914212298722, 1.097803038830389, 0.4727287098258308, 0.20886365728480955, 0.06790813303843436, 0.031389300552907645, 0.00978131682652587, 0.002478551219592731]",9,0.21608806578839745
92,sawtooth,wt_isoft,7,2,0.019224644265964562,"[0.6224136038284568, 0.40956820144399564, 1.9413914212298722, 1.097803038830389, 0.3962717365983244, 0.13980137480732654, 0.037711537627349176, 0.014050540021567122, 0.003721847724812272, 0.0011813900214839728]",9,0.2346590588445393
93,sawtooth,wt_uni,7,2,0.6800527616103611,"[0.6224136038284568, 0.6379480319568462, 7.9434968265086665, 3.7118445318935294, 1.5871297359081429, 0.476265719832193, 0.12199271483311336, 0.03228331281093094, 0.006344675075781398, 0.0022665811458107412]",9,0.7033648240545638
94,sawtooth,wt_sure,7,2,0.02007614562395931,"[0.6224136038284568, 0.6379480319568462, 1.9413914212298722, 1.097803038830389, 0.31992962456026297, 0.12054051969114626, 0.036364797150140356, 0.011704410637132207, 0.003292787540249984, 0.001158936646191246]",9,0.29555987782193205
95,sawtooth,wt_zero,7,2,0.03557174964733636,"[0.6224136038284568, 5.350568753711336, 1.9413914212298722, 1.097803038830389, 0.47694136212926974, 0.2301192342662309, 0.10845919332075135, 0.05443616215801656, 0.02542844026481933, 0.015524757596616194]",9,1.6992354232615798
96,square,wqn,8,2,0.13734670410111618,"[0.1747346788524231, 0.14045670714545103, 0.47069864660368776, 0.184384328575849, 0.1473853550296692, 0.05885041610666321, 0.02335253333886305, 0.004095436119819348, 0.000706553909813102, 0.00027986919272229795]",9,0.4593261928319641
97,square,wt_ihard,8,2,0.05462785430582449,"[0.32737226815479437, 0.17863646868275018, 2.39824945649048, 1.6663652807174285, 0.7789823326139992, 0.4245254375459189, 0.14675224081708868, 0.07379919552608452, 0.025110900881559775, 0.01138840078663899]",9,0.27753825997216774
98,square,wt_isoft,8,2,0.06153275852041186,"[0.32737226815479437, 0.17863646868275018, 1.8822052207414117, 1.1262600073195337, 0.6934398842684198, 0.3487948565822187, 0.08153279637899516, 0.036623331838975245, 0.009638621872027735, 0.004259783822603015]",9,0.2714491132152531
99,square,wt_uni,8,2,1.7767586271395128,"[0.32737226815479437, 0.17863646868275018, 11.739491289996803, 6.679279961422276, 2.6305623352458403, 0.9150678210926826, 0.3122832746306577, 0.07932806015157963, 0.016359238281118224, 0.00621967909576314]",9,0.5671645070048708
100,square,wt_sure,8,2,0.05206850245326837,"[0.32737226815479437, 0.17863646868275018, 2.39824945649048, 1.6841333577761322, 0.7789823326139992, 0.2752950327590784, 0.08142054513212367, 0.026885251635668253, 0.0084047641013593, 0.0029246719619615987]",9,0.1409277109845547
